"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.univ-evry.fr/194.199.84.39","443","INFO","HTTP","",""
"pre_128cipher","www.univ-evry.fr/194.199.84.39","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.univ-evry.fr/194.199.84.39","443","OK","not offered","",""
"SSLv3","www.univ-evry.fr/194.199.84.39","443","OK","not offered","",""
"TLS1","www.univ-evry.fr/194.199.84.39","443","INFO","not offered","",""
"TLS1_1","www.univ-evry.fr/194.199.84.39","443","INFO","not offered","",""
"TLS1_2","www.univ-evry.fr/194.199.84.39","443","OK","offered","",""
"TLS1_3","www.univ-evry.fr/194.199.84.39","443","OK","offered with final","",""
"ALPN","www.univ-evry.fr/194.199.84.39","443","INFO","http/1.1","",""
"cipherlist_NULL","www.univ-evry.fr/194.199.84.39","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.univ-evry.fr/194.199.84.39","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.univ-evry.fr/194.199.84.39","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.univ-evry.fr/194.199.84.39","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.univ-evry.fr/194.199.84.39","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.univ-evry.fr/194.199.84.39","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.univ-evry.fr/194.199.84.39","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.univ-evry.fr/194.199.84.39","443","OK","offered","",""
"cipher_order-tls1_2","www.univ-evry.fr/194.199.84.39","443","OK","server","",""
"cipherorder_TLSv1_2","www.univ-evry.fr/194.199.84.39","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.univ-evry.fr/194.199.84.39","443","OK","server","",""
"FS","www.univ-evry.fr/194.199.84.39","443","OK","offered","",""
"FS_ciphers","www.univ-evry.fr/194.199.84.39","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.univ-evry.fr/194.199.84.39","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.univ-evry.fr/194.199.84.39","443","OK","prime256v1","",""
"TLS_extensions","www.univ-evry.fr/194.199.84.39","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.univ-evry.fr/194.199.84.39","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.univ-evry.fr/194.199.84.39","443","INFO","yes","",""
"sessionresumption_ticket","www.univ-evry.fr/194.199.84.39","443","INFO","supported","",""
"sessionresumption_ID","www.univ-evry.fr/194.199.84.39","443","INFO","supported","",""
"TLS_timestamp","www.univ-evry.fr/194.199.84.39","443","INFO","random","",""
